Date;Time;Generic Output (mm/h)
12/1/20;4:06:00 PM;0.0
12/1/20;4:08:00 PM;0.0
12/1/20;4:10:00 PM;0.0
12/1/20;4:12:00 PM;0.0
12/1/20;4:14:00 PM;0.0
12/1/20;4:16:00 PM;0.0
12/1/20;4:18:00 PM;0.0
12/1/20;4:20:00 PM;0.0
12/1/20;4:22:00 PM;0.0
12/1/20;4:24:00 PM;0.0
12/1/20;4:26:00 PM;0.0
12/1/20;4:28:00 PM;0.0
12/1/20;4:30:00 PM;0.0
12/1/20;4:32:00 PM;0.0
12/1/20;4:34:00 PM;0.0
12/1/20;4:36:00 PM;0.0
12/1/20;4:38:00 PM;0.0
12/1/20;4:40:00 PM;0.0
12/1/20;4:42:00 PM;0.0
12/1/20;4:44:00 PM;0.0
12/1/20;4:46:00 PM;0.0
12/1/20;4:48:00 PM;0.0
12/1/20;4:50:00 PM;0.0
12/1/20;4:52:00 PM;0.0
12/1/20;4:54:00 PM;0.0
12/1/20;4:56:00 PM;0.0
12/1/20;4:58:00 PM;0.0
12/1/20;5:00:00 PM;0.0
12/1/20;5:02:00 PM;0.0
12/1/20;5:04:00 PM;0.0
12/1/20;5:06:00 PM;0.0
12/1/20;5:08:00 PM;0.0
12/1/20;5:10:00 PM;0.0
12/1/20;5:12:00 PM;0.0
12/1/20;5:14:00 PM;0.0
12/1/20;5:16:00 PM;0.0
12/1/20;5:18:00 PM;0.0
12/1/20;5:20:00 PM;0.0
12/1/20;5:22:00 PM;0.0
12/1/20;5:24:00 PM;0.0
12/1/20;5:26:00 PM;0.0
12/1/20;5:28:00 PM;0.0
12/1/20;5:30:00 PM;0.0
12/1/20;5:32:00 PM;0.0
12/1/20;5:34:00 PM;0.0
12/1/20;5:36:00 PM;0.0
12/1/20;5:38:00 PM;0.0
12/1/20;5:40:00 PM;0.0
12/1/20;5:42:00 PM;0.0
12/1/20;5:44:00 PM;0.0
12/1/20;5:46:00 PM;0.0
12/1/20;5:48:00 PM;0.0
12/1/20;5:50:00 PM;0.0
12/1/20;5:52:00 PM;0.0
12/1/20;5:54:00 PM;0.0
12/1/20;5:56:00 PM;0.0
12/1/20;5:58:00 PM;0.0
12/1/20;6:00:00 PM;0.0
12/1/20;6:02:00 PM;0.0
12/1/20;6:04:00 PM;0.0
12/1/20;6:06:00 PM;0.0
12/1/20;6:08:00 PM;0.0
12/1/20;6:10:00 PM;0.0
12/1/20;6:12:00 PM;0.0
12/1/20;6:14:00 PM;0.0
12/1/20;6:16:00 PM;0.0
12/1/20;6:18:00 PM;0.0
12/1/20;6:20:00 PM;0.0
12/1/20;6:22:00 PM;0.0
12/1/20;6:24:00 PM;0.0
12/1/20;6:26:00 PM;0.0
12/1/20;6:28:00 PM;0.0
12/1/20;6:30:00 PM;0.0
12/1/20;6:32:00 PM;0.0
12/1/20;6:34:00 PM;0.0
12/1/20;6:36:00 PM;0.0
12/1/20;6:38:00 PM;0.0
12/1/20;6:40:00 PM;0.0
12/1/20;6:42:00 PM;0.0
12/1/20;6:44:00 PM;0.0
12/1/20;6:46:00 PM;0.0
12/1/20;6:48:00 PM;0.0
12/1/20;6:50:00 PM;0.0
12/1/20;6:52:00 PM;0.0
12/1/20;6:54:00 PM;0.0
12/1/20;6:56:00 PM;0.0
12/1/20;6:58:00 PM;0.0
12/1/20;7:00:00 PM;0.0
12/1/20;7:02:00 PM;0.0
12/1/20;7:04:00 PM;0.0
12/1/20;7:06:00 PM;0.0
12/1/20;7:08:00 PM;0.0
12/1/20;7:10:00 PM;0.0
12/1/20;7:12:00 PM;0.0
12/1/20;7:14:00 PM;0.0
12/1/20;7:16:00 PM;0.0
12/1/20;7:18:00 PM;0.0
12/1/20;7:20:00 PM;0.0
12/1/20;7:22:00 PM;0.0
12/1/20;7:24:00 PM;0.0
12/1/20;7:26:00 PM;0.0
12/1/20;7:28:00 PM;0.0
12/1/20;7:30:00 PM;0.0
12/1/20;7:32:00 PM;0.0
12/1/20;7:34:00 PM;0.0
12/1/20;7:36:00 PM;0.0
12/1/20;7:38:00 PM;0.0
12/1/20;7:40:00 PM;0.0
12/1/20;7:42:00 PM;0.0
12/1/20;7:44:00 PM;0.0
12/1/20;7:46:00 PM;0.0
12/1/20;7:48:00 PM;0.0
12/1/20;7:50:00 PM;0.0
12/1/20;7:52:00 PM;0.0
12/1/20;7:54:00 PM;0.0
12/1/20;7:56:00 PM;0.0
12/1/20;7:58:00 PM;0.0
12/1/20;8:00:00 PM;0.0
12/1/20;8:02:00 PM;0.0
12/1/20;8:04:00 PM;0.0
12/1/20;8:06:00 PM;0.0
12/1/20;8:08:00 PM;0.0
12/1/20;8:10:00 PM;0.0
12/1/20;8:12:00 PM;0.0
12/1/20;8:14:00 PM;0.0
12/1/20;8:16:00 PM;0.0
12/1/20;8:18:00 PM;0.0
12/1/20;8:20:00 PM;0.0
12/1/20;8:22:00 PM;0.0
12/1/20;8:24:00 PM;0.0
12/1/20;8:26:00 PM;0.0
12/1/20;8:28:00 PM;0.0
12/1/20;8:30:00 PM;0.0
12/1/20;8:32:00 PM;0.0
12/1/20;8:34:00 PM;0.0
12/1/20;8:36:00 PM;0.0
12/1/20;8:38:00 PM;0.0
12/1/20;8:40:00 PM;0.0
12/1/20;8:42:00 PM;0.0
12/1/20;8:44:00 PM;0.0
12/1/20;8:46:00 PM;0.0
12/1/20;8:48:00 PM;0.0
12/1/20;8:50:00 PM;0.0
12/1/20;8:52:00 PM;0.0
12/1/20;8:54:00 PM;0.0
12/1/20;8:56:00 PM;0.0
12/1/20;8:58:00 PM;0.0
12/1/20;9:00:00 PM;0.0
12/1/20;9:02:00 PM;0.0
12/1/20;9:04:00 PM;0.0
12/1/20;9:06:00 PM;0.0
12/1/20;9:08:00 PM;0.0
12/1/20;9:10:00 PM;0.0
12/1/20;9:12:00 PM;0.0
12/1/20;9:14:00 PM;0.0
12/1/20;9:16:00 PM;0.0
12/1/20;9:18:00 PM;0.0
12/1/20;9:20:00 PM;0.0
12/1/20;9:22:00 PM;0.0
12/1/20;9:24:00 PM;0.0
12/1/20;9:26:00 PM;0.0
12/1/20;9:28:00 PM;0.0
12/1/20;9:30:00 PM;0.0
12/1/20;9:32:00 PM;0.0
12/1/20;9:34:00 PM;0.0
12/1/20;9:36:00 PM;0.0
12/1/20;9:38:00 PM;0.0
12/1/20;9:40:00 PM;0.0
12/1/20;9:42:00 PM;0.0
12/1/20;9:44:00 PM;0.0
12/1/20;9:46:00 PM;0.0
12/1/20;9:48:00 PM;0.0
12/1/20;9:50:00 PM;0.0
12/1/20;9:52:00 PM;0.0
12/1/20;9:54:00 PM;0.0
12/1/20;9:56:00 PM;0.0
12/1/20;9:58:00 PM;0.0
12/1/20;10:00:00 PM;0.0
12/1/20;10:02:00 PM;0.0
12/1/20;10:04:00 PM;0.0
12/1/20;10:06:00 PM;0.0
12/1/20;10:08:00 PM;0.0
12/1/20;10:10:00 PM;0.0
12/1/20;10:12:00 PM;0.0
12/1/20;10:14:00 PM;0.0
12/1/20;10:16:00 PM;0.0
12/1/20;10:18:00 PM;0.0
12/1/20;10:20:00 PM;0.0
12/1/20;10:22:00 PM;0.0
12/1/20;10:24:00 PM;0.0
12/1/20;10:26:00 PM;0.0
12/1/20;10:28:00 PM;0.0
12/1/20;10:30:00 PM;0.0
12/1/20;10:32:00 PM;0.0
12/1/20;10:34:00 PM;0.0
12/1/20;10:36:00 PM;0.0
12/1/20;10:38:00 PM;0.0
12/1/20;10:40:00 PM;0.0
12/1/20;10:42:00 PM;0.0
12/1/20;10:44:00 PM;0.0
12/1/20;10:46:00 PM;0.0
12/1/20;10:48:00 PM;0.0
12/1/20;10:50:00 PM;0.0
12/1/20;10:52:00 PM;0.0
12/1/20;10:54:00 PM;0.0
12/1/20;10:56:00 PM;0.0
12/1/20;10:58:00 PM;0.0
12/1/20;11:00:00 PM;0.0
12/1/20;11:02:00 PM;0.0
12/1/20;11:04:00 PM;0.0
12/1/20;11:06:00 PM;0.0
12/1/20;11:08:00 PM;0.0
12/1/20;11:10:00 PM;0.0
12/1/20;11:12:00 PM;0.0
12/1/20;11:14:00 PM;0.0
12/1/20;11:16:00 PM;0.0
12/1/20;11:18:00 PM;0.0
12/1/20;11:20:00 PM;0.0
12/1/20;11:22:00 PM;0.0
12/1/20;11:24:00 PM;0.0
12/1/20;11:26:00 PM;0.0
12/1/20;11:28:00 PM;0.0
12/1/20;11:30:00 PM;0.0
12/1/20;11:32:00 PM;0.0
12/1/20;11:34:00 PM;0.0
12/1/20;11:36:00 PM;0.0
12/1/20;11:38:00 PM;0.0
12/1/20;11:40:00 PM;0.0
12/1/20;11:42:00 PM;0.0
12/1/20;11:44:00 PM;0.0
12/1/20;11:46:00 PM;0.0
12/1/20;11:48:00 PM;0.0
12/1/20;11:50:00 PM;0.0
12/1/20;11:52:00 PM;0.0
12/1/20;11:54:00 PM;0.0
12/1/20;11:56:00 PM;0.0
12/1/20;11:58:00 PM;0.0
12/2/20;12:00:00 AM;0.0
12/2/20;12:02:00 AM;0.0
12/2/20;12:04:00 AM;0.0
12/2/20;12:06:00 AM;0.0
12/2/20;12:08:00 AM;0.0
12/2/20;12:10:00 AM;0.0
12/2/20;12:12:00 AM;0.0
12/2/20;12:14:00 AM;0.0
12/2/20;12:16:00 AM;0.0
12/2/20;12:18:00 AM;0.0
12/2/20;12:20:00 AM;0.0
12/2/20;12:22:00 AM;0.0
12/2/20;12:24:00 AM;0.0
